Item.[Sports Planning Level],Actual Cleansed
NOT_SUPPLD_Other_MENS_FOOTWEAR DIVISION_NOT_SUPPLD_NoBrand,1523.550001642
NOT_SUPPLD_Other_NOT_SUPPLD_APPAREL DIVISION_NOT_SUPPLD_NoBrand,3192.54002035
NOT_SUPPLD_Other_NOT_SUPPLD_EQUIPMENT DIVISION_NOT_SUPPLD_NoBrand,1515534.5117941552
NOT_SUPPLD_Other_NOT_SUPPLD_FOOTWEAR DIVISION_NOT_SUPPLD_NoBrand,2874.4100110299996
NOT_SUPPLD_Other_WOMENS_APPAREL DIVISION_NOT_SUPPLD_NoBrand,220.9300013
NOT_SUPPLD_Other_WOMENS_FOOTWEAR DIVISION_NOT_SUPPLD_NoBrand,64.00000047
NOT_SUPPLD_SKIMS_WOMENS_APPAREL DIVISION_NOT_SUPPLD_NoBrand,193.47000091000004
Nike_ACG_KIDS_APPAREL DIVISION_Kids Lifestyle_ACG Kids,48011.060285884305
Nike_ACG_KIDS_FOOTWEAR DIVISION_Kids Lifestyle_ACG Kids,95.27000061400001
Nike_ACG_KIDS_FOOTWEAR DIVISION_Kids Lifestyle_Running Kids,35454.7502509387
Nike_ACG_MENS_APPAREL DIVISION_Mens Lifestyle_ACG Mens & Womens,588725.2733355045
Nike_ACG_MENS_APPAREL DIVISION_Mens Lifestyle_Running Mens & Womens,1180378.046487287
Nike_ACG_MENS_EQUIPMENT DIVISION_Mens Lifestyle_ACG Mens & Womens,55189.4003334198
Nike_ACG_MENS_EQUIPMENT DIVISION_No Fields of Play_ACG Mens & Womens,2.00000003
Nike_ACG_MENS_EQUIPMENT DIVISION_No Fields of Play_Running Mens & Womens,185.00000112
Nike_ACG_MENS_FOOTWEAR DIVISION_Mens Lifestyle_ACG Mens & Womens,309216.5318478515
Nike_ACG_MENS_FOOTWEAR DIVISION_Mens Lifestyle_Running Mens & Womens,3382207.610983033
Nike_ACG_WOMENS_APPAREL DIVISION_Womens Lifestyle_ACG Mens & Womens,70208.05040742911
Nike_ACG_WOMENS_APPAREL DIVISION_Womens Lifestyle_Running Mens & Womens,332938.61197021627
Nike_ACG_WOMENS_EQUIPMENT DIVISION_No Fields of Play_ACG Mens & Womens,67.99999998999999
Nike_ACG_WOMENS_FOOTWEAR DIVISION_Womens Lifestyle_ACG Mens & Womens,9.99999992
Nike_ACG_WOMENS_FOOTWEAR DIVISION_Womens Lifestyle_Running Mens & Womens,1901989.851403732
Nike_KOBE_KIDS_FOOTWEAR DIVISION_Kids Basketball_Basketball Kids,31515.1500812468
Nike_KOBE_MENS_FOOTWEAR DIVISION_Mens Basketball_Basketball Mens & Womens,176975.56040212163
Nike_Other_KIDS_APPAREL DIVISION_Kids Basketball_Basketball Kids,420118.2823658409
Nike_Other_KIDS_APPAREL DIVISION_Kids Basketball_Basketball Mens & Womens,6129.470016831999
Nike_Other_KIDS_APPAREL DIVISION_Kids Basketball_Nike_Other,20607.050083877
Nike_Other_KIDS_APPAREL DIVISION_Kids Basketball_Training Kids,607.590005558
Nike_Other_KIDS_APPAREL DIVISION_Kids Football_Global Football Kids,34083295.68412597
Nike_Other_KIDS_APPAREL DIVISION_Kids Football_Nike_Other,1789.370007553
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Nike SB Kids,52589.980256705894
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Nike Sportswear Kids,49522134.48042129
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Nike Sportswear Mens & Womens,4052.2100175440005
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Nike_Other,65168.3102643516
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Training Kids,698.00000372
Nike_Other_KIDS_APPAREL DIVISION_Kids Running and Fitness_Nike_Other,257.00000107
Nike_Other_KIDS_APPAREL DIVISION_Kids Running and Fitness_Running Kids,445058.1225494845
Nike_Other_KIDS_APPAREL DIVISION_Kids Running and Fitness_Training Kids,13840588.155195767
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_All Other Sports Kids,24293.2501820428
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_American Football Kids,5995.840026079999
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_Baseball/Softball Kids,78.00000019
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_Golf Kids,37160.00016319351
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_Nike Sportswear Kids,275.00000079
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_Nike_Other,598115.684387169
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_Tennis Kids,163038.5408622746
Nike_Other_KIDS_APPAREL DIVISION_Womens Sport_Basketball Kids,1152.8500038820002
Nike_Other_KIDS_EQUIPMENT DIVISION_Jordan Streetwear_Nike Sportswear Kids,5.0000002
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Basketball_Basketball Kids,1007.74000835
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Football_Global Football Kids,2923593.4342508665
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Lifestyle_All Other Sports Kids,4.00000002
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Lifestyle_Nike Sportswear Kids,3935101.543480413
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Lifestyle_Training Kids,651.0000032800001
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Running and Fitness_All Other Sports Kids,57840.32038080801
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Running and Fitness_Training Kids,4271996.523732234
Nike_Other_KIDS_EQUIPMENT DIVISION_No Fields of Play_All Other Sports Kids,17164.450049285006
Nike_Other_KIDS_EQUIPMENT DIVISION_No Fields of Play_Basketball Kids,2632.00001214
Nike_Other_KIDS_EQUIPMENT DIVISION_No Fields of Play_Golf Kids,20.00000013
Nike_Other_KIDS_EQUIPMENT DIVISION_No Fields of Play_Nike Sportswear Kids,610.00000433
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Basketball_Basketball Kids,1421771.8385212515
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Basketball_Nike_Other,197.23000132770002
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Football_Global Football Kids,9434087.491861207
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Lifestyle_Nike SB Kids,204520.58160433552
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Lifestyle_Nike Sportswear Kids,81397146.96405225
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Lifestyle_Nike_Other,924414.264168669
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Running and Fitness_Running Kids,24326563.268501155
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Running and Fitness_Training Kids,1.0
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_All Other Sports Kids,243432.00188403
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_American Football Kids,55.00000003
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_Baseball/Softball Kids,18.800000358
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_Golf Kids,11461.570072752602
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_Nike_Other,2293.0500128629997
Nike_Other_KIDS_FOOTWEAR DIVISION_No Fields of Play_Tennis Kids,2158.3200126995994
Nike_Other_MENS_APPAREL DIVISION_Mens Basketball_Basketball Mens & Womens,8452869.11797752
Nike_Other_MENS_APPAREL DIVISION_Mens Basketball_Nike_Other,107.43000056700002
Nike_Other_MENS_APPAREL DIVISION_Mens Fitness_Training Mens & Womens,26188902.419886034
Nike_Other_MENS_APPAREL DIVISION_Mens Football_Global Football Mens & Womens,66907845.25094414
Nike_Other_MENS_APPAREL DIVISION_Mens Football_Nike_Other,5429.080034661
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_All Other Sports Mens & Womens,52.000002
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_American Football Mens & Womens,72.00000007999999
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Basketball Mens & Womens,413240.9626171001
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Global Football Mens & Womens,215734.10121618703
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Nike SB Mens & Womens,913869.0849249975
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Nike Sportswear Kids,22.00000003
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Nike Sportswear Mens & Womens,159121975.02047145
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Nike_Other,1808366.946904768
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Running Mens & Womens,144218.01067646005
Nike_Other_MENS_APPAREL DIVISION_Mens Lifestyle_Tennis,653.8800105999001
Nike_Other_MENS_APPAREL DIVISION_Mens Running_All Other Sports Mens & Womens,1.0000000299999998
Nike_Other_MENS_APPAREL DIVISION_Mens Running_Nike_Other,3108.710013289
Nike_Other_MENS_APPAREL DIVISION_Mens Running_Running Mens & Womens,26706378.638595548
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_American Football Mens & Womens,41399.01029018461
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Baseball/Softball Mens & Womens,1065.3000045099998
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Golf Mens & Womens,1749953.580611525
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Nike Sportswear Mens & Womens,1050.1100073066
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Nike_Other,1.0
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Tennis,2894484.874917839
Nike_Other_MENS_APPAREL DIVISION_No Fields of Play_All Other Sports Mens & Womens,103698.1105865449
Nike_Other_MENS_APPAREL DIVISION_No Fields of Play_Nike_Other,736713.4649501068
Nike_Other_MENS_APPAREL DIVISION_No Fields of Play_Running Mens & Womens,208531.7119503906
Nike_Other_MENS_APPAREL DIVISION_No Fields of Play_Training Mens & Womens,2.0000000599999996
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Basketball_Basketball Mens & Womens,1504316.7887299908
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Basketball_Nike_Other,531.2000200299999
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Fitness_Nike_Other,4381.370021084201
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Fitness_Training Mens & Womens,117851919.65699379
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Football_Global Football Mens & Womens,28415573.715739895
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Football_Nike_Other,2503.200034
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Basketball Mens & Womens,8554.8500551
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Global Football Mens & Womens,210.78000101900003
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Nike SB Mens & Womens,86094.6606023309
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Nike Sportswear Mens & Womens,32669300.72776345
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Nike_Other,413385.13287355006
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Training Mens & Womens,69337.210526219
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Running_All Other Sports Mens & Womens,160.00000017
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Running_Nike_Other,20432.000198269998
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Running_Running Mens & Womens,3707415.902087352
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_American Football Mens & Womens,1245.840002942
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_Baseball/Softball Mens & Womens,754.69000283
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_Golf Mens & Womens,28253.6101481028
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_Nike_Other,2485.3300149528
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_Tennis,431566.8031675654
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_All Other Sports Mens & Womens,4199.96003933
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_American Football Mens & Womens,24760.000095449992
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Baseball/Softball Mens & Womens,3.0
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Basketball Kids,6521.00003634
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Golf Mens & Womens,593.00000083
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Nike Sportswear Mens & Womens,10777.00008556
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Nike_Other,3998.6600237850002
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Tennis,64848.00032996999
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Basketball_Basketball Mens & Womens,4807342.698679321
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Basketball_Nike Sportswear Mens & Womens,46667.030253856006
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Basketball_Nike_Other,11132.6500351963
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Fitness_Running Mens & Womens,180.45000051
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Fitness_Training Mens & Womens,12550537.687917028
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Football_Global Football Mens & Womens,17881895.83847713
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Football_Nike Sportswear Mens & Womens,41804.66018265589
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Football_Nike_Other,27672.1601446404
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Football_Running Mens & Womens,969.4300056999998
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Lifestyle_Nike SB Mens & Womens,4041645.881939988
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Lifestyle_Nike Sportswear Mens & Womens,132255610.45065206
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Lifestyle_Nike_Other,877660.2749121422
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Running_All Other Sports Mens & Womens,3.4800000007000005
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Running_Nike_Other,13794.000075089998
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Running_Running Mens & Womens,24024697.057591286
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Sport_American Football Mens & Womens,647.93000068
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Sport_Baseball/Softball Mens & Womens,34.00000046
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Sport_Golf Mens & Womens,768359.4351503806
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Sport_Tennis,1107210.8364077483
Nike_Other_MENS_FOOTWEAR DIVISION_No Fields of Play_All Other Sports Mens & Womens,836280.5848641543
Nike_Other_MENS_FOOTWEAR DIVISION_No Fields of Play_Nike_Other,4.00000003
Nike_Other_WOMENS_APPAREL DIVISION_No Fields of Play_All Other Sports Mens & Womens,54825.570316984704
Nike_Other_WOMENS_APPAREL DIVISION_No Fields of Play_Nike_Other,441618.64332329406
Nike_Other_WOMENS_APPAREL DIVISION_No Fields of Play_Running Mens & Womens,100404.000464
Nike_Other_WOMENS_APPAREL DIVISION_Womens Holistic Fitness_Nike_Other,6407.5100307588
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_American Football Mens & Womens,16.000000030000002
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Baseball/Softball Mens & Womens,10.300000075
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Basketball Mens & Womens,6749.790042272
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Global Football Mens & Womens,1.00000002
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Nike SB Mens & Womens,1044.2200022708
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Nike Sportswear Mens & Womens,48578418.86918309
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Nike_Other,983535.5659381774
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Running Mens & Womens,83002.00057900006
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Tennis,18621.2800864996
Nike_Other_WOMENS_APPAREL DIVISION_Womens Running_Nike_Other,35040.00016038003
Nike_Other_WOMENS_APPAREL DIVISION_Womens Running_Running Mens & Womens,14192449.893579438
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_All Other Sports Mens & Womens,2.00000002
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_American Football Mens & Womens,167.97000069
