Item Planning Level,Actuals
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_Tennis,120697.00099500004
Nike_Other_KIDS_FOOTWEAR DIVISION_Kids Lifestyle_Nike SB Kids,116126.00102165002
Jordan_Other_MENS_FOOTWEAR DIVISION_Jordan Sport_Jordan Basketball,115051.00068300003
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Streetwear_Jordan Streetwear,113209.00076800004
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Global Football Mens & Womens,104565.00080219004
Nike_Other_WOMENS_APPAREL DIVISION_No Fields of Play_Running Mens & Womens,100404.000464
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Lifestyle_Nike SB Mens & Womens,86882.00090199999
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Running Mens & Womens,83001.00057900006
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Sport_Tennis,80259.00061700003
Jordan_Other_MENS_APPAREL DIVISION_Jordan Streetwear_Jordan_Other,72586.0004537
Jordan_Other_MENS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,71126.00033400001
Nike_ACG_WOMENS_APPAREL DIVISION_Womens Lifestyle_Running Mens & Womens,70420.00046100002
Nike_ACG_MENS_FOOTWEAR DIVISION_Mens Lifestyle_ACG Mens & Womens,59734.00045200002
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Tennis,57101.000395
Nike_ACG_MENS_APPAREL DIVISION_Mens Lifestyle_ACG Mens & Womens,55875.00033819999
Jordan_Other_KIDS_EQUIPMENT DIVISION_Jordan Sport_Jordan_Other,52518.00031169999
Nike_Other_KIDS_EQUIPMENT DIVISION_Kids Football_Global Football Kids,47316.00021399999
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Sport_Jordan Basketball,46819.0003741
Jordan_Other_KIDS_FOOTWEAR DIVISION_Jordan Sport_Jordan Basketball,45975.000286
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Tennis,44291.00030000001
Nike_Other_KIDS_APPAREL DIVISION_Kids Running and Fitness_Running Kids,42546.00027220001
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Running_Running Mens & Womens,38774.00026266
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Nike_Other,31468.000139100004
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan Training,30570.000162519995
Jordan_Other_WOMENS_APPAREL DIVISION_Jordan Sport_Jordan Basketball,29382.00019736
Nike_Other_MENS_APPAREL DIVISION_No Fields of Play_All Other Sports Mens & Womens,27618.00016740001
Nike_Other_KIDS_APPAREL DIVISION_Kids Basketball_Basketball Kids,26549.00021202
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Golf Mens & Womens,24393.000195999997
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_American Football Mens & Womens,23917.000093399995
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Nike_Other,21657.0002091
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Basketball Mens & Womens,20300.000088950008
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Tennis,18621.0000865
Jordan_Other_MENS_FOOTWEAR DIVISION_Jordan Sport_Jordan Golf,18042.0000973
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan Golf,17875.00011863
Nike_ACG_KIDS_APPAREL DIVISION_Kids Lifestyle_ACG Kids,17344.000072160004
Nike_Other_KIDS_EQUIPMENT DIVISION_No Fields of Play_All Other Sports Kids,15156.000032980004
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Running_Nike_Other,14263.00016733
Nike_ACG_WOMENS_APPAREL DIVISION_Womens Lifestyle_ACG Mens & Womens,13559.000109699997
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Sport_Jordan Training,13285.00009603
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Sport_Golf Mens & Womens,13087.000087799996
