Forecast Iteration.[Forecast Iteration],Version.[Version Name],Time.[Partial Week],Stat Bucket Weight,Stat Bucket Weight AUR,Stat Bucket Weight AUR Fcst
FI-Default,CurrentWorkingView,05-Nov-17,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,12-Nov-17,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,19-Nov-17,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,26-Nov-17,0.16666666666666666,0,0
FI-Default,CurrentWorkingView,01-Dec-17,0.06451612903225806,0.16666666666666666,1
FI-Default,CurrentWorkingView,03-Dec-17,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,10-Dec-17,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,17-Dec-17,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,24-Dec-17,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,31-Dec-17,0.03225806451612903,0,0
FI-Default,CurrentWorkingView,01-Jan-18,0.1935483870967742,0.2,1
FI-Default,CurrentWorkingView,07-Jan-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,14-Jan-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,21-Jan-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,28-Jan-18,0.12903225806451613,0,0
FI-Default,CurrentWorkingView,01-Feb-18,0.10714285714285714,0.2,1
FI-Default,CurrentWorkingView,04-Feb-18,0.25,0,0
FI-Default,CurrentWorkingView,11-Feb-18,0.25,0,0
FI-Default,CurrentWorkingView,18-Feb-18,0.25,0,0
FI-Default,CurrentWorkingView,25-Feb-18,0.14285714285714285,0,0
FI-Default,CurrentWorkingView,01-Mar-18,0.0967741935483871,0.2,1
FI-Default,CurrentWorkingView,04-Mar-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,11-Mar-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,18-Mar-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,25-Mar-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,01-Apr-18,0.23333333333333334,0.2,1
FI-Default,CurrentWorkingView,08-Apr-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,15-Apr-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,22-Apr-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,29-Apr-18,0.06666666666666667,0,0
FI-Default,CurrentWorkingView,01-May-18,0.16129032258064516,0.2,1
FI-Default,CurrentWorkingView,06-May-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,13-May-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,20-May-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,27-May-18,0.16129032258064516,0,0
FI-Default,CurrentWorkingView,01-Jun-18,0.06666666666666667,0.2,1
FI-Default,CurrentWorkingView,03-Jun-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,10-Jun-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,17-Jun-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,24-Jun-18,0.23333333333333334,0,0
